label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes
LAglT1,rHipp_L,-14.96977687,4.392893672,-15.40000272,-15.98078766,-6.61975835,-23.55586177,Gray,Left Amygdala,Amygdala (LB),L ParaHippocampal Gyrus,L Hipp,Left amygdala inferior,,
LAglT10,aSTS_L,-59.28032434,7.987071991,-6.200003266,-66.5577909,-2.006685942,-13.07984766,Gray,Unknown,Unknown,Unknown,L MTG,Left superior middle temporal gyrus A,OOB,
LAglT2,rHipp_L,-19.76010633,4.792246819,-14.60000277,-21.51039537,-6.115371597,-22.76056068,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala inferior,,
LAglT3,rHipp_L,-24.55043578,5.191599965,-13.40000284,-27.15680377,-5.478498738,-21.39128749,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala inferior,,
LAglT4,lAmyg_L,-29.34076524,5.590953112,-12.20000291,-32.88359594,-4.86162585,-20.00454777,White,Left Cerebral White Matter,Amygdala (AStr),L Hippocampus,L Amyg,Left amygdala superior,WM,
LAglT5,A38l_L,-34.13109469,5.990306258,-11.40000296,-38.48719951,-4.198909876,-19.10186302,Gray,Left PP planum polare,Area Id1,Unknown,L STG,Left superior temporal gyrus A,,
LAglT6,A38l_L,-39.32061827,6.389659405,-10.20000303,-44.43131378,-3.684341118,-17.83744608,White,Left PP planum polare,Area Id1,L Middle Temporal Gyrus,L STG,Left superior temporal gyrus B,WM,
LAglT7,A22r_L,-44.11094773,6.789012551,-9.400003076,-49.80223574,-3.153044272,-16.85358691,Gray,Left STG superior temporal gyrus,Unknown,L Middle Temporal Gyrus,L STG,Left superior temporal gyrus B,,
LAglT8,aSTS_L,-48.90127718,7.188365698,-8.200003147,-54.99765186,-2.694566884,-15.32345449,Gray,Left STG superior temporal gyrus,Area TE 3,L Middle Temporal Gyrus,L MTG,Left superior temporal gyrus B,,
LAglT9,aSTS_L,-53.69160664,7.587718844,-7.400003195,-60.27582996,-2.365414628,-14.44145841,Gray,Left MTG middle temporal gyrus,Area TE 3,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus A,,
LHplT1,rHipp_L,-18.96171808,-3.594169259,-13.40000284,-20.2287327,-14.92632381,-20.31147665,Gray,Left Hippocampus,CA2 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,dentate gyrus
LHplT10,Unknown,-63.67145967,-5.990288138,-18.20000255,-70.78472724,-17.73751181,-26.92859718,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
LHplT2,rHipp_L,-23.75204754,-3.594169259,-13.80000281,-25.70237841,-14.73484541,-20.85696746,Gray,Left Hippocampus,CA3 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,CA3
LHplT3,cHipp_L,-28.94157112,-3.993522406,-14.20000279,-31.67777648,-15.02879196,-21.39974516,Gray,Left Hippocampus,DG (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,CA1
LHplT4,A20rv_L,-33.73190057,-3.993522406,-15.00000274,-37.29486434,-14.81282965,-22.33917855,White,Left FuG fusiform gyrus,CA1 (Hippocampus),L Fusiform Gyrus,L FuG,Left hippocampus pes,WM,
LHplT5,A20iv_L,-38.52223003,-4.392875552,-15.40000272,-42.83872589,-15.11041844,-22.80614152,White,Left ITG inferior temporal gyrus,Unknown,L Inferior Temporal Gyrus,L ITG,Left basal inferior temporal gyrus B,WM,
LHplT6,A20il_L,-43.71175361,-4.392875552,-16.20000267,-48.73965921,-15.15526465,-24.01685494,Gray,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,L ITG,Unknown,Left inferior middle temporal gyrus B,
LHplT7,A20il_L,-48.50208306,-4.792228699,-16.60000265,-54.05021455,-15.66931926,-24.57517155,Gray,Left MTG middle temporal gyrus,Unknown,L Inferior Temporal Gyrus,L ITG,Left inferior middle temporal gyrus B,,
LHplT8,A20il_L,-53.69160664,-5.191581845,-17.4000026,-59.69351046,-16.31893273,-25.6643277,Gray,Left MTG middle temporal gyrus,Unknown,L Inferior Temporal Gyrus,L ITG,Left lateral inferior temporal gyrus B,,
LHplT9,A20il_L,-58.4819361,-5.590934992,-17.80000257,-64.94986442,-17.02383778,-26.27151311,Gray,Left MTG middle temporal gyrus,Unknown,L Inferior Temporal Gyrus,L ITG,Left inferior middle temporal gyrus B,,
LmCmS1,A24rv_L,-2.993953228,17.57154751,23.79999495,-2.892140659,8.496407045,23.87029549,White,Left MCgG middle cingulate gyrus,Unknown,L ACC,L CG,Unknown,WM,
LmCmS10,Unknown,-22.9536593,21.16572583,64.19999254,-25.76260323,14.61291149,73.53553502,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
LmCmS2,A24rv_L,-5.389117956,17.97090065,28.59999466,-5.475778453,8.957244244,29.75639965,White,Left MCgG middle cingulate gyrus,Area 33,L ACC,L CG,Left cingulate gyrus J,WM,
LmCmS3,A24cd_L,-7.385088563,18.3702538,32.9999944,-7.604230994,9.420560493,35.1217184,Gray,Left MCgG middle cingulate gyrus,Unknown,L MCC,L CG,Left cingulate gyrus J,,
LmCmS4,A8m_L,-9.780253291,19.16896009,37.39999413,-10.25411355,10.35500962,40.37917969,Gray,Left SMC supplementary motor cortex,Unknown,L MCC,L SFG,Left superior frontal gyrus 5 A,WM,
LmCmS5,Unknown,-11.7762239,19.16896009,41.79999387,-12.41032614,10.48742136,45.69978914,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Left superior frontal gyrus 5 A,WM,
LmCmS6,A8dl_L,-14.17138863,19.56831324,46.59999359,-15.18877199,11.17980906,51.5543181,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,WM,
LmCmS7,A8dl_L,-16.16735923,19.96766639,50.99999332,-17.57787451,11.93611746,57.00347353,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 D,,
LmCmS8,A8dl_L,-18.56252396,20.36701953,55.39999306,-20.41651945,12.79072074,62.48422493,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 D,,
LmCmS9,A8dl_L,-20.55849457,20.76637268,59.39999282,-22.85536296,13.6479969,67.47856888,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 6 D,,
LmOlF1,A13_L,-12.57461214,37.93855798,-11.00000298,-14.3279606,29.36325818,-21.17497396,Gray,Left MOrG medial orbital gyrus,Area Fo2,L Superior Orbital Gyrus,L OrG,Left frontal orbital 4 B,,
LmOlF2,A11l_L,-16.96574748,38.73726428,-8.600003123,-19.28288229,30.3692478,-18.1358271,Gray,Left MOrG medial orbital gyrus,Area Fo3,L Middle Orbital Gyrus,L OrG,Left frontal orbital 4 C,,
LmOlF3,A11l_L,-21.35688281,39.53597057,-6.600003242,-24.26185254,31.24701126,-15.68957512,White,Left POrG posterior orbital gyrus,Area Fo3,L IFG (p Orbitalis),L OrG,Left frontal orbital 4 D,WM,
LmOlF4,A11l_L,-25.74801815,40.73403001,-4.600003362,-29.28297535,32.42515037,-13.29799409,Gray,Left POrG posterior orbital gyrus,Area Fo3,L IFG (p Orbitalis),L OrG,Left frontal orbital 4 D,,
LmOlF5,A12/47o_L,-30.13915348,41.5327363,-2.600003481,-34.3265952,33.07979638,-10.87563672,Gray,Left POrG posterior orbital gyrus,Unknown,L IFG (p Orbitalis),L OrG,Left frontal orbital 4 D,WM,
LmOlF6,A12/47o_L,-34.53028882,42.33144259,-0.200003624,-39.35509584,34.07156642,-8.238715467,White,Left Cerebral White Matter,Unknown,L IFG (p Orbitalis),L OrG,Unknown,WM,
LmOlF7,A45r_L,-38.52223003,43.13014889,1.799996257,-43.96063946,35.07373332,-5.893443098,White,Left TrIFG triangular part of the inferior frontal gyrus,Unknown,L IFG (p Orbitalis),L IFG,Left anterior pars triangularis B,WM,
LmOlF8,A45r_L,-43.31255949,44.32820833,3.799996138,-49.39187225,36.61166483,-3.586546856,Gray,Left TrIFG triangular part of the inferior frontal gyrus,Unknown,L IFG (p Orbitalis),L IFG,Left anterior pars triangularis A,WM,
LmOlF9,A45r_L,-47.3045007,45.12691462,6.199995995,-53.84471143,37.76396387,-0.722132556,Gray,Left TrIFG triangular part of the inferior frontal gyrus,Unknown,L IFG (p Triangularis),L IFG,Left anterior pars triangularis A,,
LmTpT10,A37dl_L,-56.08677137,-41.93207133,8.599995852,-60.50506742,-56.79636539,6.099728983,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus F,,
LmTpT1,rLinG_L,-12.17541802,-41.93207133,-1.000003576,-11.74388269,-57.90825759,-5.093785466,Gray,Left LiG lingual gyrus,Area hOc2 [V2],L Lingual Gyrus,L MVOcC,Left inferior occipital gyrus A,,
LmTpT11,A37dl_L,-61.27629495,-41.93207133,9.399995804,-66.23002189,-56.53613128,7.220827648,Gray,Unknown,Unknown,Unknown,L MTG,Left superior middle temporal gyrus F,OOB,
LmTpT12,Unknown,-66.0666244,-41.93207133,10.59999573,-71.61242167,-56.35634507,8.731722618,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
LmTpT2,rLinG_L,-16.96574748,-42.33142447,0.199996352,-17.13460342,-58.20989816,-3.827865868,White,Left LiG lingual gyrus,Area hOc1 [V1],L Lingual Gyrus,L MVOcC,Left inferior occipital gyrus A,WM,
LmTpT3,rLinG_L,-21.75607693,-42.33142447,1.399996281,-22.51240396,-58.02397763,-2.667137102,Gray,Left LiG lingual gyrus,Area hOc1 [V1],L Lingual Gyrus,L MVOcC,Left lingual gyrus A,,
LmTpT4,Unknown,-26.54640639,-42.33142447,2.599996209,-27.87794936,-57.91602076,-1.315648471,White,Left Cerebral White Matter,Area hOc2 [V2],L Lingual Gyrus,Unknown,Unknown,WM,
LmTpT5,Unknown,-31.33673584,-42.33142447,3.399996161,-33.16012045,-57.96879072,-0.497853972,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
LmTpT6,A37elv_L,-36.52625942,-42.33142447,4.59999609,-38.94602087,-58.08219923,0.793951095,White,Left Cerebral White Matter,Unknown,L Middle Occipital Gyrus,L ITG,Unknown,WM,
